"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21761","GreenKart POM for Brocolli","chromium","2026-04-18","passed","2026-04-18","","tests\UI\GreenKartPOM.spec.ts","",""
"","21871","GreenKart POM for Cucumber","chromium","2026-04-18","passed","2026-04-18","","tests\UI\GreenKartPOM.spec.ts","",""
